River,Species,Presence
Robbs Creek,osmunda_cinnamomea,1
Boreas River,osmunda_regalis,1
Chester Creek,osmunda_regalis,1
Daly Creek,osmunda_regalis,1
Trout Brook,osmunda_regalis,1
Alplaus Kill,ostrya_virginiana,1
Ballston Creek,ostrya_virginiana,1
Lansing Kill,ostrya_virginiana,1
Minots Corner Road,ostrya_virginiana,1
Sterling Creek,ostrya_virginiana,1
Timmerman Creek,ostrya_virginiana,1
Valatie Kill,ostrya_virginiana,1
Alplaus Kill,oxalis_stricta,1
Battenkill,oxalis_stricta,1
Boreas River,oxalis_stricta,1
Cedar River,oxalis_stricta,1
Fishkill Creek,oxalis_stricta,1
Hans Creek,oxalis_stricta,1
Indian Brook,oxalis_stricta,1
Kayaderosseras Creek,oxalis_stricta,1
Keyser Kill,oxalis_stricta,1
Kinderhook Creek,oxalis_stricta,1
Landsman Kill,oxalis_stricta,1
Mill Brook,oxalis_stricta,1
Minots Corner Road,oxalis_stricta,1
Potic Creek,oxalis_stricta,1
Quacken Kill,oxalis_stricta,1
Roeliff Jansen Kill,oxalis_stricta,1
Sherriff Lake Outlet,oxalis_stricta,1
Snook Kill,oxalis_stricta,1
Sterling Creek,oxalis_stricta,1
Stony Creek,oxalis_stricta,1
Alplaus Kill,parthenocissus_quinquefolia,1
Ballston Creek,parthenocissus_quinquefolia,1
Battenkill,parthenocissus_quinquefolia,1
Big Brook,parthenocissus_quinquefolia,1
Daly Creek,parthenocissus_quinquefolia,1
Evas Kill,parthenocissus_quinquefolia,1
Fishkill Creek,parthenocissus_quinquefolia,1
Four Mile Brook,parthenocissus_quinquefolia,1
Indian Kill,parthenocissus_quinquefolia,1
Kayaderosseras Creek,parthenocissus_quinquefolia,1
Kinderhook Creek,parthenocissus_quinquefolia,1
Lansing Kill,parthenocissus_quinquefolia,1
Minots Corner Road,parthenocissus_quinquefolia,1
Mohawk River,parthenocissus_quinquefolia,1
Paragon Brook,parthenocissus_quinquefolia,1
Potic Creek,parthenocissus_quinquefolia,1
Quacken Kill,parthenocissus_quinquefolia,1
Roeliff Jansen Kill,parthenocissus_quinquefolia,1
Snook Kill,parthenocissus_quinquefolia,1
Sprout Creek,parthenocissus_quinquefolia,1
Steele Creek,parthenocissus_quinquefolia,1
Sterling Creek,parthenocissus_quinquefolia,1
Wappinger Creek,parthenocissus_quinquefolia,1
Boreas River,peltandra_virginica,1
Boreas River,phalaris_arundinacea,1
Cobleskill Creek,phalaris_arundinacea,1
Fawn Lake,phalaris_arundinacea,1
Keyser Kill,phalaris_arundinacea,1
North Branch West Stony Creek,phalaris_arundinacea,1
Sprout Creek,phalaris_arundinacea,1
Bullhead Pond Brook,phegopteris_connectilis,1
Hudson River,phegopteris_connectilis,1
Four Mile Brook,phegopteris_hexagonoptera,1
New Pond Brook,phegopteris_hexagonoptera,1
Sherriff Lake Outlet,phegopteris_hexagonoptera,1
Stewart Creek,phegopteris_hexagonoptera,1
Timmerman Creek,phegopteris_hexagonoptera,1
Cadman Creek,pinus_strobus,1
Mill Creek,pinus_strobus,1
Paragon Brook,pinus_strobus,1
Kinderhook Creek,platanus_occidentalis,1
Landsman Kill,platanus_occidentalis,1
Sprout Creek,platanus_occidentalis,1
Beaver Kill,polygonum_amphibium,1
Cobleskill Creek,polygonum_amphibium,1
Potic Creek,polygonum_amphibium,1
Roeliff Jansen Kill,polygonum_amphibium,1
Wappinger Creek,polygonum_hydropiperoides,1
