PartSite,Species,Presence
Robbs Creek N,Eutrochium purpureum,1
Sherriff Lake Outlet N,Eutrochium purpureum,1
Snook Kill N,Eutrochium purpureum,1
Big Brook N,Fragaria vesca,1
Cedar River N,Fragaria vesca,1
Four Mile Brook N,Fragaria vesca,1
Hans Creek N,Fragaria vesca,1
Lansing Kill N,Fragaria vesca,1
Mill Creek N,Fragaria vesca,1
Minots Corner Road N,Fragaria vesca,1
New Pond Brook N,Fragaria vesca,1
Paragon Brook N,Fragaria vesca,1
Robbs Creek N,Fragaria vesca,1
Sterling Creek N,Fragaria vesca,1
Stewart Creek N,Fragaria vesca,1
Timmerman Creek N,Fragaria vesca,1
Big Brook N,Galium aparine,1
Fawn Lake N,Galium aparine,1
Four Mile Brook N,Galium aparine,1
Robbs Creek N,Galium aparine,1
Sterling Creek N,Galium aparine,1
Cadman Creek N,Galium asprellum,1
Daly Creek N,Galium asprellum,1
Four Mile Brook N,Galium asprellum,1
Hudson River N,Galium asprellum,1
Mill Brook N,Galium asprellum,1
Mill Creek N,Galium asprellum,1
Paragon Brook N,Galium asprellum,1
Sherriff Lake Outlet N,Galium asprellum,1
Timmerman Creek N,Galium asprellum,1
Beaver Kill N,Galium boreale,1
Wappinger Creek N,Galium boreale,1
Wharton Hollow Creek N,Galium boreale,1
Alplaus Kill N,Galium palustre,1
Ballston Creek N,Galium palustre,1
Battenkill N,Galium palustre,1
Beaver Kill N,Galium palustre,1
Cedar River N,Galium palustre,1
Chester Creek N,Galium palustre,1
Jassup River N,Galium palustre,1
Kennyetto Creek N,Galium palustre,1
Kinderhook Creek N,Galium palustre,1
Landsman Kill N,Galium palustre,1
Mohawk River N,Galium palustre,1
Potic Creek N,Galium palustre,1
Quacken Kill N,Galium palustre,1
Roeliff Jansen Kill N,Galium palustre,1
Stony Creek N,Galium palustre,1
Wharton Hollow Creek N,Galium palustre,1
Roeliff Jansen Kill N,Galium triflorum,1
Hudson River N,Gentiana linearis,1
Landsman Kill N,Geum canadense,1
Mohawk River N,Geum canadense,1
Roeliff Jansen Kill N,Geum canadense,1
Snook Kill N,Geum canadense,1
Ballston Creek N,Glyceria striata,1
Cadman Creek N,Glyceria striata,1
Daly Creek N,Glyceria striata,1
Four Mile Brook N,Glyceria striata,1
Four Mile Brook N,Glyceria striata,1
Indian Kill N,Glyceria striata,1
Keyser Kill N,Glyceria striata,1
Mill Brook N,Glyceria striata,1
Mill Creek N,Glyceria striata,1
New Pond Brook N,Glyceria striata,1
New Pond Brook N,Glyceria striata,1
North Branch West Stony Creek N,Glyceria striata,1
Robbs Creek N,Glyceria striata,1
Sherriff Lake Outlet N,Glyceria striata,1
Timmerman Creek N,Glyceria striata,1
Battenkill N,Helianthus strumosus,1
Valatie Kill N,Helianthus strumosus,1
Quacken Kill N,Helianthus tuberosus,1
Bullhead Pond Brook N,Heuchera villosa,1
Cadman Creek N,Heuchera villosa,1
Daly Creek N,Heuchera villosa,1
Robbs Creek N,Heuchera villosa,1
Stewart Creek N,Heuchera villosa,1
Robbs Creek N,Hypericum mutilum,1
Stony Creek N,Hypericum punctatum,1
Ballston Creek N,Impatiens capensis,1
Beaver Kill N,Impatiens capensis,1
Bullhead Pond Brook N,Impatiens capensis,1
Daly Creek N,Impatiens capensis,1
Fawn Lake N,Impatiens capensis,1
Fishkill Creek N,Impatiens capensis,1
Indian Brook N,Impatiens capensis,1
Indian Kill N,Impatiens capensis,1
Keyser Kill N,Impatiens capensis,1
