Trait,Abies balsamea,Acer negundo,Acer pensylvanicum,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Achillea millefolium,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Alliaria petiolata,Alnus incana,Ambrosia artemisiifolia,Ambrosia trifida,Amphicarpaea bracteata,Anemone virginiana,Apocynum cannabinum,Arctium lappa,Arisaema triphyllum,Artemisia vulgaris,Asclepias syriaca,Athyrium filix-femina,Barbarea vulgaris,Berberis thunbergii,Betula alleghaniensis,Betula papyrifera,Bidens connata,Bidens frondosa,Blephilia hirsuta,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Bromus inermis,Bromus pubescens,Calystegia sepium,Carex crinita,Carex scoparia,Carpinus caroliniana,Carya cordiformis,Carya ovata,Centaurea jacea,Centaurea nigrescens,Centaurea stoebe,Cephalanthus occidentalis,Chelidonium majus,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Clinopodium vulgare,Collinsonia canadensis,Commelina communis,Cornus amomum,Cornus canadensis,Cornus rugosa,Cornus sericea,Corylus cornuta,Cryptotaenia canadensis,Cyperus strigosus,Dactylis glomerata,Daucus carota,Dianthus armeria,Dichanthelium clandestinum,Digitaria sanguinalis,Dioscorea villosa,Dryopteris carthusiana,Dryopteris cristata,Echinocystis lobata,Eleocharis intermedia,Elymus hystrix,Elymus repens,Elymus trachycaulus,Elymus virginicus,Epilobium ciliatum,Epipactis helleborine,Equisetum fluviatile,Equisetum hyemale,Equisetum palustre,Equisetum pratense,Erigeron annuus,Euonymus alatus,Eupatorium perfoliatum,Euphorbia maculata,Euthamia graminifolia,Fagus grandifolia,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Fraxinus pennsylvanica,Galium aparine,Galium asprellum,Galium boreale,Galium mollugo,Galium palustre,Galium triflorum,Geum canadense,Glechoma hederacea,Glyceria striata,Hamamelis virginiana,Helianthus strumosus,Helianthus tuberosus,Hemerocallis fulva,Hypericum mutilum,Hypericum perforatum,Hypericum punctatum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Juglans nigra,Juncus articulatus,Juncus filiformis,Laportea canadensis,Leonurus cardiaca,Leucanthemum vulgare,Linaria vulgaris,Lindera benzoin,Liparis loeselii,Lithospermum officinale,Lobelia cardinalis,Lobelia inflata,Lobelia siphilitica,Lonicera japonica,Lonicera morrowii,Lotus corniculatus,Ludwigia palustris,Lycopus americanus,Lycopus rubellus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia quadrifolia,Lysimachia terrestris,Lythrum salicaria,Maianthemum racemosum,Malus pumila,Matteuccia struthiopteris,Melilotus officinalis,Mimulus ringens,Mitchella repens,Monotropa uniflora,Muhlenbergia mexicana,Myosotis laxa,Myosotis scorpioides,Myrica gale,Oenothera biennis,Onoclea sensibilis,Osmunda cinnamomea,Osmunda regalis,Ostrya virginiana,Oxalis stricta,Panicum dichotomiflorum,Parthenocissus quinquefolia,Peltandra virginica,Phalaris arundinacea,Phegopteris connectilis,Phegopteris hexagonoptera,Phleum pratense,Pilea pumila,Pinus strobus,Plantago lanceolata,Plantago major,Platanus occidentalis,Polygonum amphibium,Polygonum cuspidatum,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum persicaria,Polygonum punctatum,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Potentilla recta,Potentilla simplex,Prenanthes alba,Prunella vulgaris,Prunus americana,Prunus serotina,Prunus virginiana,Pteridium aquilinum,Quercus alba,Quercus velutina,Ranunculus pensylvanicus,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Rhus typhina,Robinia pseudoacacia,Rosa multiflora,Rosa palustris,Rubus allegheniensis,Rubus hispidus,Rubus idaeus,Rubus occidentalis,Rubus odoratus,Rubus phoenicolasius,Rubus pubescens,Rudbeckia hirta,Rudbeckia laciniata,Rumex crispus,Rumex obtusifolius,Sagittaria latifolia,Salix alba,Salix nigra,Salix pentandra,Sambucus nigra,Saponaria officinalis,Schoenoplectus pungens,Scirpus atrocinctus,Scirpus microcarpus,Scutellaria lateriflora,Securigera varia,Silene vulgaris,Solanum dulcamara,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Sonchus oleraceus,Spiraea alba,Symphyotrichum lanceolatum,Symphyotrichum prenanthoides,Symplocarpus foetidus,Tanacetum vulgare,Taraxacum officinale,Thalictrum dioicum,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Thuja occidentalis,Tilia americana,Toxicodendron radicans,Trifolium aureum,Trifolium pratense,Trifolium repens,Trillium erectum,Tsuga canadensis,Tussilago farfara,Ulmus americana,Ulmus rubra,Urtica dioica,Veratrum viride,Verbascum thapsus,Verbena hastata,Verbena urticifolia,Veronica americana,Veronica anagallis-aquatica,Veronica scutellata,Viburnum acerifolium,Viburnum dentatum,Viburnum lantanoides,Vinca minor,Vitis riparia,Xanthium strumarium
Seed number per ramet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seed number per reproducton unit,NA,NA,NA,NA,NA,NA,NA,9955.228077,NA,NA,NA,47031.91667,NA,15420.32,409.055,NA,NA,NA,14196.66714,NA,271682.6667,NA,1856092.5,59202.2925,NA,NA,NA,1076.91,22084.835,NA,NA,3593.3,NA,9116.665,NA,531.9166667,NA,NA,NA,NA,NA,3253.66087,NA,NA,NA,41752.92933,NA,NA,NA,1491.4575,NA,86757.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,92513.26667,33886.57143,846.8,NA,90411.66667,NA,NA,NA,NA,NA,NA,2118.05,NA,NA,1929562.668,6849473.175,NA,NA,NA,NA,7071.2,NA,NA,NA,NA,NA,7744.30875,NA,NA,NA,2992.466316,NA,91,53083.1,249.1,NA,NA,46341,NA,NA,NA,77.9,NA,NA,163298.8588,NA,4,NA,NA,NA,1212964.75,342.1388889,NA,69732,1773.192,74545.22333,NA,NA,1,NA,NA,NA,NA,NA,9324.727273,18789.41667,NA,NA,NA,8156.67,NA,NA,297033.595,NA,NA,NA,27705.66571,NA,NA,NA,NA,275.875,20527.56,15156.5,126922.245,NA,NA,880228,NA,65200,NA,85.95,NA,16414.335,NA,NA,23258.15,NA,NA,10922.7625,81747.7225,NA,40.5,NA,13362.38,NA,2854,NA,NA,NA,NA,NA,54337.75,NA,NA,6692.710435,NA,1,NA,3.00E+08,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2581.485714,NA,NA,NA,NA,230.91,NA,17801.28933,17415.28154,NA,49581.33333,NA,56840.4,5,29080.55,NA,NA,NA,NA,NA,2066.02125,18705.82333,NA,8499.428571,NA,899445,40193.6,NA,NA,NA,NA,273721.4767,NA,NA,NA,NA,NA,NA,NA,NA,82470.82667,216.452381,17445.98966,NA,NA,6953.1,NA,NA,10056.43077,NA,652624.8511,NA,NA,NA,2356.8,499988.8325,NA,NA,NA,2.5,NA,19
Seed protein content per mass,NA,48.8,NA,31.8,NA,NA,NA,33.1,NA,16.8,NA,NA,16.2,NA,18.4,NA,NA,30.9,16.8,NA,NA,NA,NA,15.6,NA,NA,NA,NA,33.8,NA,NA,32.63333333,NA,19.4,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.15,24.08666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,25.2,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,30.6,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,36.18,NA,NA,NA,NA,NA,NA,NA,16.3,NA,NA,NA,37.93333333,NA,NA,NA,NA,NA,NA,NA,16.65,NA,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,20.65,NA,NA,17.46666667,19.1,11.6,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,17.5,NA,NA,19.13333333,NA,NA,35.6,NA,NA,NA,NA,NA,NA,NA,NA,43.2,NA,NA,NA,NA,7.4,NA,NA,NA,NA,27.675,37.8,15.1,12.7,NA,NA,NA,NA,12.3,16.6,NA,NA,NA,NA,33.225,18.1,NA,NA,25.1,NA,NA,18.8,NA,NA,NA,NA,28.9,30,NA,NA,NA,NA,NA,NA,NA,NA,37.15,35.075,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,18.1,16.9,NA,NA,10.6,45.15
Seed thickness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,0.7,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,2.89,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,0.65,NA,NA,0.29,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.4,NA,0.65,NA,NA,NA,NA,1.1,0.87,0.4,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.97,0.73,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seed width,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19,NA,1.25,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA,NA,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,8.15,NA,NA,NA,NA,NA,0.4,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,1.353333333,NA,NA,NA,NA,NA,NA,NA,NA,1.22,3.2,NA,NA,NA,1.25,NA,NA,0.4,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.4,NA,1.58,NA,NA,NA,NA,1.42,1.22,2.08,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,1.4,1.02,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,0.4,1.18,NA,NA,NA,NA,NA,NA
Seedbank lifespan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Species distribution: number of floristic zones,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,3,3,5,3,NA,NA,NA,3,NA,4,3,5,4,2,NA,NA,2,2,NA,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,3,2,2,NA,4,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,4,4,2,NA,3,NA,7,3,3,NA,NA,NA,NA,NA,4,4,3,4,4,3,4,NA,NA,NA,NA,NA,4,NA,NA,3,3,NA,3,2,4,NA,NA,4,3,NA,NA,2,1,NA,4,NA,3,NA,NA,NA,4,3,NA,3,3,4,NA,2,3,NA,NA,NA,NA,NA,4,4,NA,NA,NA,2,NA,NA,6,NA,NA,3,4,NA,NA,NA,NA,4,3,3,NA,NA,NA,3,NA,NA,3,NA,NA,5,3,NA,4,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,4,4,7,NA,NA,NA,NA,NA,3,NA,2,2,NA,NA,NA,3,NA,NA,NA,NA,2,3,4,3,4,3,NA,3,3,2,4,NA,NA,NA,3,4,4,NA,4,NA,4,4,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,NA,NA,2,4,7,NA,NA,4,NA,NA,4,NA,4,NA,NA,NA,5,3,NA,NA,NA,2,NA,NA
Stem dry mass per plant,NA,NA,NA,NA,NA,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,3.278333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.816,NA,6.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.538,NA,7.264,NA,NA,NA,NA,NA,NA,NA,NA,2.146,NA,NA,NA,NA,NA,NA,NA,NA,2.992,NA,NA,NA,NA,NA,NA,NA,6.096,NA,NA,4.016,NA,NA,NA,NA,NA,NA,NA,NA,5.29,3.362,NA,NA,NA,0.16,NA,NA,NA,3.51,NA,NA,1.09,NA,NA,NA,0.726,NA,NA,NA,12.264,NA,0.486,NA,2.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.27,NA,NA,NA,NA,NA,NA,1.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.45,NA,NA,2.916,NA,NA,NA,NA,57.98,NA,7.254,NA,NA,NA,NA,NA,NA,NA,2.686,0.53,NA,NA,NA,NA,NA,NA,NA,NA,3.33,0.902,NA,NA,5.704,NA,NA,NA,NA,NA,7.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem length (height),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.36,NA,NA,NA,NA,NA,NA,NA,119.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem nitrogen (N) content per dry mass,3.563428571,NA,NA,3.390555556,NA,0.39,0.44,2.4925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.27777778,13.1742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.227534247,2.3925,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,0.51,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,5.2,NA,NA,NA,1.68,2.91,NA,NA,NA,NA,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem specific density (SSD),0.41,108.362,0.44,275.275,0.51,433.56,NA,0.4,NA,NA,NA,0.38,255.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.6,NA,0.16,NA,NA,NA,NA,NA,NA,0.15,NA,NA,0.72,0.67,0.73,0.27,NA,NA,NA,NA,NA,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA,0.48,0.56,NA,NA,0.495,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.27,0.64,0.53,0.58,NA,NA,NA,0.34,NA,NA,NA,0.15,NA,0.71,NA,0.166666667,NA,NA,NA,NA,NA,NA,0.4,513.312,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311428571,NA,NA,NA,NA,NA,NA,NA,0.29,NA,320.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,0.338888889,NA,NA,0.42,NA,175.185,0.176666667,NA,190.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426,NA,NA,NA,NA,NA,180.41,NA,NA,0.685,0.67,NA,NA,NA,237.0533333,0.45,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,119.41,0.41,NA,0.298888889,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,175.16,0.4,NA,NA,0.23,0.19,NA,0.43,NA,225.275,0.57,0.184166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19
Stomata conductance per leaf area,NA,NA,NA,160.34,NA,33.5,NA,157.2635,NA,NA,NA,NA,NA,723.3333333,NA,NA,NA,NA,NA,90,416,455,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,224.21,NA,NA,120,NA,NA,NA,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,NA,NA,NA,NA,365.8,NA,176.382,113.3333333,NA,NA,NA,NA,NA,NA,113.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4175,NA,NA,NA,92.375,NA,50.05666667,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,0.6425,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,199.1111111,231.75,117.8770588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,NA,NA,NA,153,NA,210.215,NA,135,NA,126,NA,NA,NA,440,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.375,NA,NA,NA,NA,163,NA,NA,NA,65.25,139.5,NA,141,NA,454,NA,137.375,NA,NA,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
Wood dry mass per plant dry mass,NA,NA,NA,NA,NA,NA,NA,36.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.452,NA,47.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.672,NA,86.112,NA,NA,NA,NA,NA,NA,NA,NA,49.186,NA,NA,NA,NA,NA,NA,NA,NA,57.146,NA,NA,NA,NA,NA,NA,NA,56.324,NA,NA,40.206,NA,NA,NA,NA,NA,NA,NA,NA,56.452,63.656,NA,NA,NA,57.726,NA,NA,NA,82.638,NA,NA,77.828,NA,NA,NA,19.952,NA,NA,NA,75.886,NA,36.254,NA,74.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.884,NA,NA,NA,NA,NA,NA,50.642,NA,NA,NA,NA,NA,NA,NA,50.468,39.578,NA,NA,NA,NA,NA,NA,NA,NA,61.538,47.554,NA,NA,12.722,NA,NA,NA,NA,NA,61.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodiness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
